"","ID","TIME_ABSOLUTE","TIME_ELAPSED","X","Y","Z","U_Seeb","U_Seeb_StdDev","T_Probe","T_Sample","dT","X.","X._StdDev","T01...Column","T02...Room","T03...Device","std_dev_ID","std_dev_TIME_ABSOLUTE","std_dev_TIME_ELAPSED","std_dev_X","std_dev_Y","std_dev_Z","std_dev_U_Seeb","std_dev_U_Seeb_StdDev","std_dev_T_Probe","std_dev_T_Sample","std_dev_dT","std_dev_X.","std_dev_X._StdDev","std_dev_T01...Column","std_dev_T02...Room","std_dev_T03...Device"
"45",43,"2021.12.01 18:09:48",1544.10898,0.15,0.45,-3.48,1.14008,0.0061576,36.50276,26.8702,6,190.0144,1.0262,26.97528,23.29974,26.74154,0,NA,8.75383758942334,0,0,0,0.0284011795529693,0.00514255085536351,0.0178445509890271,0.0169310365896481,0,4.7320799597006,0.856970428311269,0.0298008724704494,0.0409711239777475,0.0465399076062683
"46",44,"2021.12.01 18:09:48",1577.18636,0.3,0.45,-3.48,1.1434,0.0060394,36.54,26.87084,6,190.56826,1.00632,26.96318,23.34622,26.7472,0,NA,8.34684789444498,0,0,0,0.0163604706533767,0.00225471434997873,0.0410852771683472,0.00922783831674526,0,2.72411709788694,0.375597140564196,0.0427820873731061,0.0242515360338257,0.0406713043803619
"47",45,"2021.12.01 18:09:48",1610.04032,0.45,0.45,-3.48,1.1303,0.0054256,36.52592,26.87098,6,188.38062,0.90422,26.9749,23.33906,26.74268,0,NA,8.97968726888635,0,0,0,0.0207035021192068,0.00262254338381656,0.0318805112882453,0.0111851240493788,0,3.44891746305997,0.437075361922861,0.0359259655402604,0.0588875029187008,0.050306778867266
"48",46,"2021.12.01 18:09:48",1644.82998,0.6,0.45,-3.48,1.24778,0.00971946,36.54174,26.85554,6,207.9615,1.61996,26.87976,23.3133,26.71694,0,NA,8.68180515860613,0,0,0,0.0292990955491804,0.00794683175284339,0.0289934992713884,0.0161736823265454,0,4.8803946218518,1.3247927283164,0.0918401763935576,0.038454648613659,0.0547233770887729
"49",47,"2021.12.01 18:09:48",1676.10504,0.75,0.45,-3.48,1.18374,0.0040038,36.54452,26.86938,6,197.28824,0.66736,26.84982,23.32468,26.72348,0,NA,8.53576095570869,0,0,0,0.016598885504756,0.00218770420761126,0.0452990838759485,0.0197781950642618,0,2.76768319773055,0.36475297531343,0.0253079434170388,0.0489244008650081,0.0335441052943729
"50",48,"2021.12.01 18:09:48",1709.98222,0.9,0.45,-3.48,1.16448,0.00648,36.56106,26.87674,6,194.08078,1.0802,26.82602,23.34134,26.71122,0,NA,11.5151107390247,0,0,0,0.0295005423678955,0.00487744958969337,0.0256310943972342,0.0162503230737118,0,4.91562752626763,0.813132581440444,0.033534415158162,0.0290697093208716,0.025507097051605
"51",49,"2021.12.01 18:09:48",1750.38424,1.05,0.45,-3.48,1.29826,0.01194946,36.5286,26.8521,6,216.37632,1.991708,26.83382,23.29616,26.70562,0,NA,14.429277124929,0,0,0,0.0766457957098757,0.00954521014216031,0.0444814568106761,0.025022190151943,0,12.7789857082634,1.59068842528007,0.0342472918637375,0.022412451896212,0.0394924296543019
"52",50,"2021.12.01 18:09:48",1799.05754,1.2,0.45,-3.48,1.15692,0.0087532,36.5469,26.8614,6,192.821,1.4584,26.75916,23.3243,26.72394,0,NA,15.7238602748498,0,0,0,0.0355414124648979,0.00582693548960343,0.031293369904821,0.0244721270019581,0,5.9221839404902,0.970862397562085,0.0441061560329169,0.0296741469970067,0.0605261761554448
"53",51,"2021.12.01 18:09:48",1839.93428,1.35,0.45,-3.48,1.23962,0.01041456,36.5293,26.8528,6,206.60162,1.7356,26.76404,23.34684,26.70526,0,NA,8.01380702643885,0,0,0,0.0765566261012069,0.00681623217532971,0.0231748786404615,0.0207452404179858,0,12.7602803888473,1.1358381486814,0.0352946596527009,0.0195195542981903,0.0369722598714219
"54",52,"2021.12.01 18:09:48",1874.27014,1.5,0.45,-3.48,1.33526,0.0114374,36.50014,26.83318,6,222.5406,1.9061,26.70438,23.31422,26.75532,0,NA,11.9199604704882,0,0,0,0.069732295244026,0.00802583508427628,0.0519012812943953,0.0257240548903155,0,11.6196580171277,1.33741197841204,0.0448585220443121,0.0128530930129673,0.0456299463072231
"55",53,"2021.12.01 18:09:48",1907.92646,1.65,0.45,-3.48,1.254,0.0131182,36.5035,26.8298,6,209.0004,2.18644,26.6842,23.29734,26.77114,0,NA,8.04731603691572,0,0,0,0.0880325223993951,0.00696677538033199,0.0353074354775311,0.0209661632160005,0,14.6767711471223,1.16122128296032,0.0287582162172828,0.0539019758450465,0.0328910018090053
"56",54,"2021.12.01 18:09:48",1943.38788,1.8,0.45,-3.48,1.31678,0.0104054,36.51518,26.82324,6,219.46346,1.73414,26.65344,23.2943,26.71884,0,NA,11.5057088200597,0,0,0,0.0612229287113905,0.00639717561115841,0.0295169781651175,0.0226844219675084,0,10.2013159422204,1.0660282819888,0.031266003902002,0.0380125637125422,0.0319153254722555
"57",55,"2021.12.01 18:09:48",1976.28422,1.95,0.45,-3.48,1.22564,0.00854,36.5166,26.84662,6,204.27206,1.42338,26.61534,23.26598,26.74032,0,NA,8.64705364687885,0,0,0,0.0206713086184692,0.00485808794691903,0.0396613161657551,0.0134987777224461,0,3.44981963195179,0.809681938788312,0.0468201665951765,0.0563207066717035,0.0337865653773812
"58",56,"2021.12.01 18:09:48",2012.6125,0,0.6,-3.48,1.20566,0.0057118,36.54474,26.84946,6,200.94282,0.9519,26.60668,23.3076,26.7261,0,NA,9.68533882783664,0,0,0,0.0544091260727463,0.00334305761242609,0.0315476306558833,0.0163793467513208,0,9.07287583773745,0.557124698788341,0.0461932570836918,0.0229988043167467,0.053017119876508
"59",57,"2021.12.01 18:09:48",2049.6371,0.15,0.6,-3.48,1.2389,0.0122024,36.5113,26.83506,6,206.48092,2.03406,26.609,23.34072,26.7145,0,NA,12.0178144949487,0,0,0,0.0472950314515172,0.0073596414858334,0.0109920425763376,0.0216114090239387,0,7.88072433929775,1.2269217448558,0.0293187653218888,0.0539767264661353,0.0478580191817418
"60",58,"2021.12.01 18:09:48",2088.7714,0.3,0.6,-3.48,1.32846,0.0156694,36.52806,26.8466,6,221.4077,2.61162,26.58344,23.33536,26.70454,0,NA,10.4553897385511,0,0,0,0.0624328679462989,0.00978761139400211,0.0184961617639996,0.0193406308066727,0,10.4046271136932,1.63127282267559,0.00559937496511924,0.0393755380915606,0.038412862429139
"61",59,"2021.12.01 18:09:48",2125.52912,0.45,0.6,-3.48,1.22034,0.0146892,36.54786,26.83166,6,203.39244,2.448,26.52822,23.30084,26.7039,0,NA,8.96270074402807,0,0,0,0.0686615103241984,0.0060674948042829,0.0324337478562075,0.0246349954333258,0,11.4415675428675,1.01119261271036,0.0353152516627025,0.0465106761937517,0.0382333623946416
"62",60,"2021.12.01 18:09:48",2160.36652,0.6,0.6,-3.48,1.17048,0.0043716,36.5077,26.83412,6,195.08064,0.72878,26.50622,23.28504,26.69894,0,NA,9.63439781133209,0,0,0,0.0215863845977042,0.00318860726650367,0.0231651678172213,0.0358950135812755,0,3.59719221935665,0.53164197727418,0.0862752977392723,0.0222305645452384,0.0622228896789598
"63",61,"2021.12.01 18:09:48",2192.82412,0.75,0.6,-3.48,1.19122,0.00631064,36.4837,26.82474,6,198.534,1.0519,26.4895,23.29014,26.70268,0,NA,8.99203952821611,0,0,0,0.0186070416778164,0.00383325359818523,0.0457908833721299,0.0195387563575566,0,3.10432285450468,0.639096667179543,0.0278333433133716,0.0640852010997851,0.0146753875587657
"64",62,"2021.12.01 18:09:48",2231.60362,0.9,0.6,-3.48,1.13962,0.0076072,36.5198,26.8225,6,189.93328,1.2678,26.46094,23.2959,26.72564,0,NA,18.349509166242,0,0,0,0.0301135683704207,0.00437204702627957,0.0481688696151352,0.0236459298823279,0,5.02164396706896,0.728780200060347,0.035692758369171,0.0219576865812405,0.0596831466998853
"65",63,"2021.12.01 18:09:48",2281.71114,1.05,0.6,-3.48,1.18224,0.005656,36.50196,26.82226,6,197.04196,0.9425,26.47286,23.30362,26.72054,0,NA,15.0558893233844,0,0,0,0.0421495907453441,0.0040380467431668,0.0205390603485163,0.0146343090031607,0,7.02542751531891,0.672847843126513,0.0155991345913804,0.0568083356559571,0.0182537119512711
"66",64,"2021.12.01 18:09:48",2316.99228,1.2,0.6,-3.48,1.11912,0.00350588,36.50544,26.8319,6,186.52112,0.584258,26.46778,23.2411,26.70302,0,NA,8.50426193899284,0,0,0,0.00900733034811091,0.00304698929387683,0.0092850955837841,0.0228656948287169,0,1.50247893396213,0.507716361091506,0.0205488929142179,0.0284520649514241,0.0523676140376851
